Country,answers_collected,count_of_voters,voters_reported_by_cik,davankov_exit_poll,davankov_cik,spoiled_exit_poll,spoiled_cik,declined_to_answer,voted_putin_exit_poll,declined_to_answer_and_putin,voted_putin_cik,Slutskiy_exit_poll,slutskiy_cik,haritonov_exit_poll,haritonov_cik,Ballot removed or destroyed,iso_alpha,Country_rus,percent_putin,percent_declined,percent_voted_putin_and_declined,percent_spoiled
Portugal,753,1079,1269,453,656,164.0,232,48,67,115,333,10.0,21,10.0,28,1.0,PRT,Португалия,0.08897742363877822,0.06374501992031872,0.15272244355909695,0.21779548472775564
Serbia,3906,4288,4724,2625,3185,566.0,900,503,112,615,512,27.0,54,41.0,73,32.0,SRB,Сербия,0.02867383512544803,0.1287762416794675,0.15745007680491552,0.144905273937532
Slovakia,617,0,740,323,378,123.0,146,105,42,147,183,11.0,15,9.0,18,4.0,SVK,Словакия,0.06807131280388978,0.17017828200972449,0.23824959481361427,0.1993517017828201
Spain,1407,1363,3513,866,1601,377.0,680,35,100,135,1119,6.0,42,20.0,71,3.0,ESP,Испания,0.07107320540156362,0.024875621890547265,0.09594882729211088,0.26794598436389483
Sweden,1009,0,1190,409,465,228.0,247,213,140,353,448,7.0,13,11.0,17,1.0,SWE,Швеция,0.13875123885034688,0.21110009910802774,0.34985133795837464,0.2259663032705649
Switzerland,1739,1250,2971,597,976,343.0,511,422,326,748,1360,14.0,53,24.0,71,13.0,CHE,Швейцария,0.18746405980448533,0.24266820011500861,0.43013225991949394,0.19723979298447383
Thailand,579,0,3770,382,1681,70.0,314,44,58,102,1620,7.0,75,17.0,80,1.0,THA,Таиланд,0.1001727115716753,0.07599309153713299,0.17616580310880828,0.12089810017271158
Turkey,1272,261~13002219232,14418,840,3814,224.0,1183,70,102,172,8432,18.0,526,16.0,463,2.0,TUR,Турция,0.08018867924528301,0.055031446540880505,0.13522012578616352,0.1761006289308176
UAE,1556,0,3550,657,1405,144.0,325,231,486,717,1695,12.0,69,20.0,56,6.0,ARE,ОАЭ,0.31233933161953725,0.14845758354755784,0.4607969151670951,0.09254498714652956
United Kingdom,1726,2589,2689,977,1427,417.0,611,183,98,281,566,7.0,30,33.0,55,11.0,GBR,Великобритания,0.056778679026651215,0.10602549246813442,0.16280417149478563,0.24159907300115874
United States,1552,1817,1953,587,722,344.0,442,335,238,573,702,16.0,34,24.0,53,8.0,USA,США,0.15335051546391754,0.21585051546391754,0.36920103092783507,0.22164948453608246
Uzbekistan,2392,0,4661,810,1446,184.0,342,488,861,1349,2737,19.0,63,27.0,73,3.0,UZB,Узбекистан,0.35994983277591974,0.2040133779264214,0.5639632107023411,0.07692307692307693
Vietnam,238,0,554,127,193,26.0,48,44,35,79,278,3.0,11,3.0,24,0.0,VNM,Вьетнам,0.14705882352941177,0.18487394957983194,0.3319327731092437,0.1092436974789916
